country,year,value
AL,1995,650.0
AL,1996,760.0
AL,1997,630.0
AL,1998,710.0
AL,1999,860.0
AL,2000,1060.0
AL,2001,1170.0
AL,2002,1270.0
AL,2003,1370.0
AL,2004,1560.0
AL,2005,1760.0
AL,2006,1950.0
AL,2007,2310.0
AL,2008,2680.0
AL,2009,2590.0
AL,2010,2560.0
AL,2011,2640.0
AL,2012,2730.0
AL,2013,2760.0
AL,2014,2920.0
AL,2015,2990.0
AL,2016,3140.0
AL,2017,3320.0
AL,2018,3640.0
AL,2019,3970.0
AL,2020,3810.0
AL,2021,4220.0
AL,2022,5010.0
AT,1995,15230.0
AT,1996,15560.0
AT,1997,15510.0
AT,1998,16010.0
AT,1999,16540.0
AT,2000,17290.0
AT,2001,17860.0
AT,2002,18120.0
AT,2003,18710.0
AT,2004,19260.0
AT,2005,19970.0
AT,2006,20750.0
AT,2007,21510.0
AT,2008,22220.0
AT,2009,22540.0
AT,2010,23120.0
AT,2011,23950.0
AT,2012,24560.0
AT,2013,24880.0
AT,2014,25210.0
AT,2015,25660.0
AT,2016,26180.0
AT,2017,26950.0
AT,2018,27670.0
AT,2019,28340.0
AT,2020,26930.0
AT,2021,29010.0
AT,2022,31930.0
AT,2023,34000.0
AT,2024,35540.0
BA,2010,0.0
BA,2011,0.0
BA,2012,0.0
BA,2013,0.0
BA,2014,0.0
BA,2015,0.0
BA,2016,0.0
BA,2017,0.0
BA,2018,0.0
BA,2019,0.0
BA,2020,0.0
BA,2021,0.0
BA,2022,10.0
BA,2023,10.0
BA,2024,10.0
BE,1995,14290.0
BE,1996,14450.0
BE,1997,14350.0
BE,1998,14920.0
BE,1999,15440.0
BE,2000,16310.0
BE,2001,16790.0
BE,2002,17170.0
BE,2003,17610.0
BE,2004,18210.0
BE,2005,18880.0
BE,2006,19600.0
BE,2007,20380.0
BE,2008,21310.0
BE,2009,21550.0
BE,2010,22440.0
BE,2011,22990.0
BE,2012,23690.0
BE,2013,24120.0
BE,2014,24470.0
BE,2015,24860.0
BE,2016,25490.0
BE,2017,26350.0
BE,2018,27210.0
BE,2019,27870.0
BE,2020,26470.0
BE,2021,28570.0
BE,2022,32120.0
BE,2023,34170.0
BE,2024,35350.0
BE,2025,36690.0
BG,1995,1130.0
BG,1996,950.0
BG,1997,870.0
BG,1998,1060.0
BG,1999,1170.0
BG,2000,1330.0
BG,2001,1570.0
BG,2002,1730.0
BG,2003,1870.0
BG,2004,2110.0
BG,2005,2400.0
BG,2006,2680.0
BG,2007,3220.0
BG,2008,3620.0
BG,2009,3510.0
BG,2010,3680.0
BG,2011,3990.0
BG,2012,4270.0
BG,2013,4160.0
BG,2014,4340.0
BG,2015,4600.0
BG,2016,4830.0
BG,2017,5230.0
BG,2018,5660.0
BG,2019,6240.0
BG,2020,6390.0
BG,2021,7430.0
BG,2022,8940.0
BG,2023,9860.0
BG,2024,11050.0
CH,1995,23440.0
CH,1996,23530.0
CH,1997,22990.0
CH,1998,23710.0
CH,1999,24610.0
CH,2000,26020.0
CH,2001,27440.0
CH,2002,28100.0
CH,2003,27390.0
CH,2004,27540.0
CH,2005,28080.0
CH,2006,28280.0
CH,2007,27790.0
CH,2008,29470.0
CH,2009,30960.0
CH,2010,34370.0
CH,2011,38570.0
CH,2012,39580.0
CH,2013,39010.0
CH,2014,39470.0
CH,2015,44790.0
CH,2016,43940.0
CH,2017,43550.0
CH,2018,42160.0
CH,2019,43940.0
CH,2020,43790.0
CH,2021,44400.0
CH,2022,50300.0
CH,2023,52920.0
CH,2024,55210.0
CY,1995,7820.0
CY,1996,8200.0
CY,1997,8650.0
CY,1998,9320.0
CY,1999,9800.0
CY,2000,10680.0
CY,2001,11320.0
CY,2002,11750.0
CY,2003,12320.0
CY,2004,13150.0
CY,2005,13990.0
CY,2006,14880.0
CY,2007,16300.0
CY,2008,17910.0
CY,2009,16580.0
CY,2010,17340.0
CY,2011,17300.0
CY,2012,16990.0
CY,2013,15970.0
CY,2014,15630.0
CY,2015,15670.0
CY,2016,16000.0
CY,2017,16850.0
CY,2018,17740.0
CY,2019,18670.0
CY,2020,17750.0
CY,2021,18850.0
CY,2022,21490.0
CY,2023,23170.0
CY,2024,24250.0
CZ,1995,2670.0
CZ,1996,3100.0
